Title,Abstract,Relevance,Probability
An accuracy study of the clinical diagnosis of periodontitis in pregnant women.,"There exists a diverse range of criteria used in epidemiological studies for the diagnosis of periodontitis. The results from these studies should be evaluated with consideration to the diagnostic criteria used, and this may account for differences between studies especially in some population groups such as pregnant females. The objective is to evaluate the diagnostic criteria used in a variety of epidemiologic studies of periodontitis in pregnant females.<b>Methods: </b>An accuracy study with cross-sectional design was performed out from a database of 671 pregnant females, using six different sets of criteria for the diagnosis of periodontitis. Women were classified for periodontitis, as follows: Center for Disease Control and Prevention/American Academy of Periodontology (CDC/AAP, 2012 criterion), the gold standard, Gomes-Filho et al.(2018) criterion, Albandar et al.(2007) criterion, Bassani et al.(2007) criterion, López et al.(2002) criterion, and Nesse et al.(2008) criterion. For comparison amongst the gold standard and the other criteria, sensitivity, specificity, predictive values, and likelihood ratio were determined.<b>Results: </b>The frequency of periodontitis ranged from 25.0% to 90.2%. The Bassani et al. (2007) criterion was found to be more sensitive among the studies, and thus more suitable for diagnostic screening studies. Gomes-Filho et al.(2018), Albandar et al. (2007), López et al. (2002), and Nesse et al. (2008) criteria were considered more specific, which makes them more useful for studies of periodontitis with the aim of using diagnosis for confirmation of disease.<b>Conclusions: </b>A variation in the occurrence of periodontitis was observed. The criterion must be chosen according to the research aims and population characteristics.",1,1.0
"Gingival changes during pregnancy: III. Impact of clinical, microbiological, immunological and socio-demographic factors on gingival inflammation.","Aims To identify predictor variables involved in exacerbated gingival inflammation associated with pregnancy. Material and Methods In this cohort study, 48 pregnant and 28 non-pregnant women without periodontitis were included. The pregnant women were evaluated in the first, second and third trimester and at 3 months postpartum, whilst the non-pregnant women were evaluated twice, with a 6-month interval. At each visit, clinical [plaque index (PlI) and gingival index ( GI)], hormonal (salivary progesterone and estradiol), immunological [gingival crevicular fluid interleukin-1β, interleukin-6, tumour necrosis factor-α ( TNF-α) and prostaglandin-E<sub>2</sub>] and microbiological (periodontal pathogens culture) evaluations were performed. Statistical analysis was undertaken using exhaustive chi-square automatic interaction detection (exhaustive CHAID) to analyse the predictive value of the independent outcomes to develop pregnancy GI. Results PlI was the strongest predictor implicated in the GI throughout pregnancy and after delivery. During the second and third trimesters the presence of Porphyromonas gingivalis significantly contributed to the worsening of gingival inflammation. When compared with the non-pregnant group, significant differences were found in TNF-α amounts and concentrations and in the third trimester site-specific GI. Conclusions Bacterial challenge to the gingival tissues, both quantitatively (PlI) and qualitatively (harbouring P. gingivalis) appears to affect the level of gingival inflammation observed during pregnancy.",0,0.15
Impact of the treatment of periodontitis on systemic health and quality of life: A systematic review.,"Aim: To investigate the effect of treatment of periodontitis on systemic health outcomes, pregnancy complications, and associated quality of life. Materials and methods: Systematic electronic searches were conducted to identify randomized controlled trials with minimum 6-month follow-up and reporting on the outcomes of interest. Qualitative and quantitative analyses were performed as deemed suitable. Results: Meta-analyses confirmed reductions of high-sensitivity C-reactive protein (hs-CRP) [0.56 mg/L, 95% confidence interval (CI) (-0.88, -0.25), p < .001]; interleukin (IL)-6 [0.48 pg/ml, 95% CI (-0.88, -0.08), p = .020], and plasma glucose [1.33 mmol/l, 95% CI (-2.41, -0.24), p = .016], and increase of flow-mediated dilation (FMD) [0.31%, 95% CI (0.07, 0.55), p = .012] and diastolic blood pressure [0.29 mmHg, 95% CI (0.10, 0.49), p = .003] 6 months after the treatment of periodontitis. A significant effect on preterm deliveries (<37 weeks) was observed [0.77 risk ratio, 95% CI (0.60, 0.98), p = .036]. Limited evidence was reported on quality-of-life (QoL) outcomes in the included studies. Conclusions: Treatment of periodontitis results in systemic health improvements including improvement in cardiometabolic risk, reduction in systemic inflammation and the occurrence of preterm deliveries. Further research is however warranted to confirm whether these changes are sustained over time. Further, appropriate QoL outcomes should be included in the study designs of future clinical trials.",0,0.0
"Maternal periodontal disease, systemic inflammation, and risk for preeclampsia.","Maternal periodontal disease, a chronic oral infectious and inflammatory disorder, is associated with an increased risk for preeclampsia. Our objective was to determine the relationship between maternal periodontal disease, maternal systemic inflammation, and the development of preeclampsia.<b>Study Design: </b>A secondary analysis of data from the Oral Conditions and Pregnancy Study was performed. A cohort of healthy pregnant women enrolled at less than 26 weeks underwent an oral health examination, serum sampling, and delivery follow-up. Periodontal disease was categorized clinically as present or absent. Maternal serum was assayed for C-reactive protein by high-sensitivity enzyme-linked immunosorbent assay and stratified as elevated (> or = 75th percentile) or not elevated (< 75th percentile). Preeclampsia was defined as blood pressure > 140/90 mmHg and at least 1+ proteinuria on a catheterized urine specimen. Risk ratios (RR) for preeclampsia were calculated, stratified by periodontal disease and C-reactive protein level.<b>Results: </b>Thirty-one (4%) of 775 women with complete data developed preeclampsia. Women with CRP > or = 75th percentile were more likely than those with CRP < 75th percentile to develop preeclampsia (7% vs 3%, P < .03; RR, 95% CI 2.2, 1.1-4.4). Women with periodontal disease and CRP > or = 75th percentile were at increased risk for preeclampsia (adjusted RR 5.8, 1.2-26.9), compared to women without periodontal disease and either CRP < 75th or > or = 75th percentile.<b>Conclusion: </b>Maternal periodontal disease with systemic inflammation as measured by C-reactive protein is associated with an increased risk for preeclampsia.",0,0.0
Nomogram prediction for periodontitis in Chinese pregnant women with different sociodemographic and oral health behavior characteristics: a community-based study.,"Background: Periodontitis is associated with poor pregnancy outcomes, indicating periodontal health as an important health concern for pregnant women. Herein, this study identified risk indicators for periodontitis and developed a nomogram for predicting the risk of periodontitis in pregnancy by analyzing periodontitis and associated factors in pregnant women. Materials and methods: A community-based cross-sectional study was conducted by including 438 pregnant women at 10–36 gestational weeks from Langfang, China. Pregnant women were examined for periodontal status, and their demographic, socioeconomic, and oral health behavior data were collected. Potential influencing factors of periodontitis were analyzed with univariate and multivariate logistic regression analyses. A nomogram was developed, followed by the assessment of its validation and discriminatory abilities. Results: The prevalence of periodontitis was 59.8% in pregnant women. Periodontitis-associated variables in pregnant women were gestational age, non-first pregnancy, daily tooth brushing frequency of ≤ 1 before pregnancy, and annual frequency of periodontal treatment < 1 (including no periodontal treatment). The risk of periodontitis was positively associated with gestational age (OR = 1.28, 95% CI = 1.17–1.39, p < 0.001). Pregnancy history showed a strong positive association (OR = 6.57, 95% CI = 1.22–35.43, p = 0.03). Daily tooth brushing frequency before pregnancy was also positively associated with periodontitis (OR = 1.54, 95% CI = 1.03–2.79, p = 0.05). Additionally, the annual frequency of periodontal treatment exhibited a positive association, with higher odds observed for those with less frequent treatment (OR = 2.28, 95% CI = 1.25–4.14, p = 0.05; OR = 7.37, 95% CI = 3.04–22.06, p < 0.001). These four factors were used to develop a nomogram for predicting periodontitis in pregnant women. The area under the receiver operating characteristic curve of the nomogram was 0.855 and 0.831 in the training and testing cohorts, respectively, reflecting the superior prediction accuracy of the nomogram. The calibration curve and decision curve analysis demonstrated the good performance and net benefit of the nomogram. Conclusion: Risk factors for periodontitis in pregnant Chinese women include gestational age, non-first pregnancy, lower frequency of daily tooth brushing before pregnancy, and lower frequency of periodontal treatment. An easy-to-use nomogram with acceptable accuracy can allow for the prediction of periodontitis risk in pregnant Chinese women. Clinical relevance: With the assistance of this nomogram, clinicians can evaluate the risk of periodontitis in pregnancy, thereby offering more tailored oral health education to women of reproductive age.",1,0.82
Periodontal disease and preterm birth: Findings from the 2015 Pelotas birth cohort study.,"Objectives: To verify the association between periodontal conditions and preterm birth. Materials and methods: This study used data from the 2015 Pelotas Birth Cohort Study, Brazil. Pregnant women expected to give birth in 2015 were interviewed and dentally examined by a trained dentist, with periodontal measures collected in all teeth, six sites per tooth. Exposure was periodontal disease. Outcomes were preterm birth (all births <37 weeks of gestational age) and early preterm birth (<34 weeks). Analysis was carried out using Poisson regression according to a directed acyclic graph. Results: A total of 2,474 women participated in the study. Incidence of preterm births was 10.2% and of early preterm births was 3.5%. Frequency of gingivitis was 21.7%, and periodontitis was 14.9%. Periodontitis was associated with a risk almost two times higher of having early preterm delivery compared with healthy pregnant women (RR 1.93; 95% CI 1.09–3.43). Presence of 5+ mm periodontal pocket with bleeding on probing was also associated with higher risk for early preterm delivery. Conclusions: The association between periodontal disease in pregnancy and the occurrence of preterm delivery is sensitive to the case definitions. Periodontal disease increased the risk of early preterm delivery.",0,0.0
Periodontitis and placental growth factor in oral fluids are early pregnancy predictors of gestational diabetes mellitus.,"Gestational diabetes mellitus (GDM) affects around 7% to 10% of all pregnancies. Early detection of predisposition to GDM is the first step in developing efficacious preventive treatment. The objective of the present study was to establish the utility of placental proteins presents in oral fluids (gingival crevicular fluid [GCF] and saliva), and periodontal disease status as early pregnancy predictors of GDM.<b>Methods: </b>A nested case control within a prospective cohort was conducted. Pregnant systemically healthy women, aged between 18 and 40 years at 11 to 14 weeks gestation were included. Samples of oral fluids were collected and a complete maternal/obstetric and periodontal history was obtained. The concentration of placental growth factor (PlGF) and soluble Fms-like tyrosine kinase 1 (sFlt-1) were measured by enzyme-linked immunosorbent assay in a nested case control sample of the prospective cohort. Multiple logistic regression models assessed the association. The evaluation of the diagnostic accuracy of the biomarkers was performed through receiver operating characteristic (ROC) curves by calculating the area under the curve (AUC).<b>Results: </b>There were recruited 212 pregnant women at 11 to 14 weeks of pregnancy, of these, 14 women (i.e., 6.6%) developed GDM, and displayed significant greater bleeding on probing (BOP) [P = 0.0003]; periodontal probing depth (PD) [P = 0.0028]; clinical attachment level (AL) [P = 0.0008] and periodontal inflamed surface area (PISA) [P = 0.0001]. Similarly, initial glycemia and GCF-PlGF concentrations were significantly greater in women with GDM [P = 0.0012, and P = 0.0019, respectively]. When data were subjected to ROC curve analysis, the combination of initial glycemia and GCF-PlGF concentration delivered an area under the ROC curve of 0.897. Multiple logistic regression analyses demonstrate an association between glycemia (OR 1.21, 95% confidence interval [CI] 1.06 to 1.38; P = 0.005) and GCF-PlGF concentrations in women who developed GDM (OR 1.68, CI 1.05 to 2.68 P = 0.03).<b>Conclusions: </b>Within the limitations of the present study, the results support that first trimester maternal glycemia combined with GCF-PlGF concentrations could be a surrogate biomarker for the future development of GDM in pre-symptomatic women.",0,0.0
Prevalence and social determinants of periodontal disease in Colombian pregnant women.,"Objective: The objective of the study was to identify the prevalence of periodontal disease in pregnant women in the Colombian population and its association with social determinants and medical history based on data from the Fourth National Oral Health Survey (ENSAB IV). Methods: A total of 1012 pregnant women from different areas of Colombia were evaluated. A periodontal evaluation was performed using a North Carolina periodontal probe. The following data were recorded: number of teeth, probing depth (PD), the position of the gingival margin (GM) and clinical attachment level (CAL). An ordinal logistic regression analysis was performed for the association between social determinants and the Centers for Disease Control and Prevention and the American Academy of Periodontology (CDC/AAP) classification and logistic regression between social determinants and the European Federation of Periodontology (EFP) classification. Results: The prevalence of periodontitis was 37.1% using the CDC/AAP criteria and 41.2% according to the criteria of EFP distributed in sensitive (40.2%) and specific cases (0.9%). Age, belonging to a subsidized regime, living in a rural area, having an intermittent water supply and bleeding in medical records were found to be positively associated with periodontitis (mild, moderate, severe). Conclusions: The findings of this national study of pregnant women show a high prevalence of periodontitis—using the CDC/AAP and EFP criteria—associated with age, living in rural areas, subsidized regime, intermittent water supply and bleeding in medical records.",0,0.2
Systemic endotoxin levels in chronic indolent periodontal infections.,"Background and Objective: Periodontal disease has been linked with an increased risk of various systemic diseases. A plausible biologic explanation for this link includes the opportunity for oral pathogens to translocate to the circulation as a result of breakdown in integrity of the oral epithelium. This study refined a methodology used to detect endotoxin activity in the serum of subjects with indolent periodontal infections. Material and Methods: The QCL<sup>(R)</sup> Kinetic Chromogenic Assay (Cambrex) is a kinetic measure of endotoxin activity. Sera from 211 pregnant women with periodontitis enrolled in the Obstetrics and Periodontal Therapy Trial were used to develop the assay further and to evaluate the detection of endotoxin activity that might accompany a low-level bacteremia in chronic periodontitis. Results: We optimized the system to increase the sensitivity and reproducibility of the assay. The refined system was able to detect endotoxin activity in serum at > 0.0125 EU/mL. At baseline (13-16 wk of gestation), 35.5% of the women were positive for endotoxin activity (1.62 ± 2.21; range: 0.38-15 EU/mL). Conclusion: This report describes a sensitive measure of endotoxin activity in serum. The procedure allowed us to document levels of this microbial virulence factor in serum of individuals with indolent infections such as periodontal disease.",0,0.0
The relationship between the anti-Porphyromonas gingivalis immunoglobulin G subclass antibody and small for gestational age delivery: a longitudinal study in pregnant Japanese women.,"Maternal serum IgG antibody against Porphyromonas gingivalis is an indicator of both periodontitis and adverse pregnancy outcomes. This study aims to evaluate the anti-P. gingivalis IgG and IgG subclasses1-4 in threatened preterm labour (TPL) patients and their association with small for gestational age (SGA).<b>Methods: </b>Serum, saliva and subgingival plaque samples were collected from 47 TPL patients compared with 48 healthy pregnant women. The amount of P. gingivalis was measured in saliva and plaque using real-time polymerase chain reaction. The serum anti-P. gingivalis IgG titre and anti-P. gingivalis subclasses IgG 1-4 concentration were measured using enzyme-linked immunosorbent assay.<b>Results: </b>The amount of anti-P. gingivalis IgG-1 was significantly lower in the TPL group than in the healthy group. Fourteen subjects delivered SGA infants in the TPL group. The pocket probing depth (PPD), clinical attachment loss, PPD ≥ 5 mm%, amount of P. gingivalis in plaque, anti-P. gingivalis IgG and anti-P. gingivalis IgG-4 were significantly higher in the TPL-SGA group than in the TPL-normal weight group. Moreover, logistic regression analysis revealed the detection frequency of P. gingivalis in plaque and placenta weight were significantly correlated with SGA in TPL. In the receiver operating characteristic curve analysis, an amount of P. gingivalis in plaque ≥ 86.45 copies showed a sensitivity of 0.786 and a specificity of 0.727 (AUC 0.792) for predicting SGA in TPL.<b>Conclusion: </b>Lower anti-P. gingivalis IgG-1 amounts are related to TPL, while higher anti-P. gingivalis IgG and IgG-4 are related with SGA in TPL. Further, greater colonisation of P. gingivalis in plaque might increase the risk of SGA and can be useful in prediction of SGA in TPL.",0,0.32
