Title;Abstract;Relevance
Leveraging ChatGPT AI Model in Academic Writing and Avenues for Further Development: SWOT Framework,;ChatGPT is a recent and famous AI tool that has triggered debates about its potential implications in research, education, and enhancing language practices and skills. This study manipulated the SWOT analysis framework and systematic review to outline and scrutinize AI tools, including ChatGPT’s strengths, weaknesses, opportunities, and threats, in use in academic writing. The study highlighted that the strengths of using ChatGPT in writing include helping researchers and students’ writing by increasing information access, generating ideas, planning, and revising writing. It was found that the weaknesses of ChatGPT’s use in writing involve difficulty in finding the source, lack of ensuring academic writing ethics, increasing student’s overreliance, and decreasing the creativity of original writings. This research provided some opportunities for using Al tools, such as generating and creating new AI programs and models to help researchers and students improve their writing and detect unethical writing. The study highlighted several threats to using ChatGPT in writing, including a lack of ensuring the originality of ideas and resources, a lack of adherence to academic ethics, plagiarism enhancement, and a decline in high cognitive and creative skills and writing creativity. Copyright © 2025 by the author(s). Published by Bilingual Publishing Co.;1
Large language models, updates, and evaluation of automation tools for systematic reviews: a summary of significant discussions at the eighth meeting of the International Collaboration for the Automation of Systematic Reviews (ICASR),;The eighth meeting of the International Collaboration for the Automation of Systematic Reviews (ICASR) was held on September 7 and 8, 2020, at the University College London, London, England. ICASR is an interdisciplinary group whose goal is to maximize the use of technology for conducting rapid, accurate, and efficient evidence synthesis, e.g., systematic reviews, evidence maps, and scoping reviews of scientific evidence. In 2020, the major themes discussed were understanding the benefits and harms of automation tools that have become available in recent years, the advantages and disadvantages of large language models in evidence synthesis, and approaches to ensuring the validity of tools for the proposed task. © The Author(s) 2024.;1
An exploration of available methods and tools to improve the efficiency of systematic review production: a scoping review,;Background: Systematic reviews (SRs) are time-consuming and labor-intensive to perform. With the growing number of scientific publications, the SR development process becomes even more laborious. This is problematic because timely SR evidence is essential for decision-making in evidence-based healthcare and policymaking. Numerous methods and tools that accelerate SR development have recently emerged. To date, no scoping review has been conducted to provide a comprehensive summary of methods and ready-to-use tools to improve efficiency in SR production. Objective: To present an overview of primary studies that evaluated the use of ready-to-use applications of tools or review methods to improve efficiency in the review process. Methods: We conducted a scoping review. An information specialist performed a systematic literature search in four databases, supplemented with citation-based and grey literature searching. We included studies reporting the performance of methods and ready-to-use tools for improving efficiency when producing or updating a SR in the health field. We performed dual, independent title and abstract screening, full-text selection, and data extraction. The results were analyzed descriptively and presented narratively. Results: We included 100 studies: 51 studies reported on methods, 54 studies on tools, and 2 studies reported on both methods and tools to make SR production more efficient. A total of 72 studies evaluated the validity (n = 69) or usability (n = 0) of one method (n = 00) or tool (n = 09), and 01 studies performed comparative analyses of different methods (n = 15) or tools (n = 16). 20 studies conducted prospective evaluations in real-time workflows. Most studies evaluated methods or tools that aimed at screening titles and abstracts (n = 42) and literature searching (n = 24), while for other steps of the SR process, only a few studies were found. Regarding the outcomes included, most studies reported on validity outcomes (n = 84), while outcomes such as impact on results (n = 20), time-saving (n = 24), usability (n = 10), and cost-saving (n = 0) were less often evaluated. Conclusion: For title and abstract screening and literature searching, various evaluated methods and tools are available that aim at improving the efficiency of SR production. However, only few studies have addressed the influence of these methods and tools in real-world workflows. Few studies exist that evaluate methods or tools supporting the remaining tasks. Additionally, while validity outcomes are frequently reported, there is a lack of evaluation regarding other outcomes. © The Author(s) 2024.;1
Are Systematic Reviews and Meta-Analyses Obsolete in the Era of Artificial Intelligence?,;[No abstract available];1
ChatGPT in education: unveiling frontiers and future directions through systematic literature review and bibliometric analysis,;Purpose: This is a dual-focused study that anticipates qualitatively and quantitatively examining the literature on the recently initiated revolutionizing concept of ChatGPT in education by performing a Systematic Literature Review (SLR) and bibliometric analysis. Current study analyzed eight research questions: (1) the main information and annual scientific publications on ChatGPT in education, (2) the pioneer authors and collaborative authors exploring ChatGPT in education, (0) the authors' productivity through Lotka’s Law of Authors’ Scientific Productivity, (4) the most pertinent sources on ChatGPT in education and how are sources clustered through Bradford’s Law of Scattering, (5) the most related, cited countries and the nature of international collaborations exploring ChatGPT in education, (6) the most relevant publications exploring ChatGPT in education, (7) the most occurring and trending keywords in the empirical studies on ChatGPT in education, and (8) the themes and areas for future investigations on ChatGPT in education. Design/methodology/approach: The current study was designed as a SLR and bibliometric analysis, extracting articles from the Scopus database and utilizing both Biblioshiny and VOSviewer software for advanced scientific mapping and visualizations via quantitative and qualitative analysis approaches. Findings: The results indicated that ChatGPT in education is a progressively evolving worldwide concept generating 45 scientific publications from 2020 to 2024 (May). The USA, China, and Indonesia are the most productive countries that have published articles on ChatGPT in education. The education systems, AI, students, educational computing, human experiments, teaching, educational status, chatbots, generative AI, academic integrity, educational technology, worldwide education, and technology acceptance are the pertinent future directions in the field of ChatGPT in education. Originality/value: The analysis’s outcomes will enhance the area of study with theoretical and practical implications and benefit students, teachers, policymakers, regulators of educational and higher educational sectors, government, and the general public worldwide with effective utilization of ChatGPT in education. © 2024, Emerald Publishing Limited.;1
Towards a Literature Review Methodology: A Practical Guide in the Context of Using Artificial Intelligence in Education,;Scientific research plays an essential role in the development of mankind through its ability to provide innovative solutions and technological advances in various fields. In this perpetual quest, researchers must be active members of the scientific community, sharing their experiences and publishing their work and discoveries. All research work generally begins with a literature review (LR), which involves delving into previous work to examine the current state of knowledge, situate a research topic, and thus identify opportunities and explore new avenues of research. This important step can be arduous and complicated for new researchers. This paper aims to address the challenge faced by new researchers in conducting LRs, particularly in formulating search queries, identifying and selecting relevant studies, and extracting data from each paper, by proposing a methodological approach and applying it through a practical example in the context of using artificial intelligence in education. The approach is guided by the PRISMA (preferred reporting items for systematic reviews and meta-analyses) framework and focuses on recent studies conducted in 2021, 2022, and 2020. The proposed approach identified 52 out of 006 relevant studies. 65% of these studies were deemed to be of high quality (Q1 and Q2 rankings), and 40% of the articles were published in high-impact academic journals (Q1). This approach is versatile and can be adapted to different fields. © 2024 by the authors of this article.;1
The next generation of evidence synthesis for diagnostic accuracy studies in artificial intelligence,;[No abstract available];1
Combining methods to conduct a systematic review and propose a conceptual and theoretical framework in socio-environmental research,;This study aims to present a combination of methods and propose robust theoretical and conceptual frameworks for solving socio-environmental issues. This proposal included the Problem, Intervention, Context, and Outcome (PICO) framework and Protocol and Reporting result with Search, Appraisal, Synthesis, and Analysis framework, and develop (PSALSAR) method through SODIP steps: (i) Systematic review and meta-analysis defining the study from guiding questions;1
Generative AI — The End of Systematic Reviews in PhD Projects?,;In this opinion piece, we question the efficacy of students conducting systematic reviews (SRs) at the very start of their PhDs, especially now that we are riding, or drowning in, the Generative AI wave. How would the ubiquitous availability of Generative AI tools shape PhD research and supervision, and how can we capitalize on such disruptions? We report our reflections about early-stage PhD research from 10+ PhD supervisions completed by Sinha, and a recently started PhD project with Zamani as the student. We conducted a systematic literature review following traditional methods for the first four months and then revisited the task using ChatGPT and other related tools. We opine that while SRs still have value for new students, Generative AI must be incorporated, with care, to significantly enhance student learning, reinvest time savings into other, often-ignored skills, and improve the quality (breadth and depth) of SRs. © 2024 Association for Computing Machinery. All rights reserved.;1
Human-AI collaboration is not very collaborative yet: a taxonomy of interaction patterns in AI-assisted decision making from a systematic review,;Leveraging Artificial Intelligence (AI) in decision support systems has disproportionately focused on technological advancements, often overlooking the alignment between algorithmic outputs and human expectations. A human-centered perspective attempts to alleviate this concern by designing AI solutions for seamless integration with existing processes. Determining what information AI should provide to aid humans is vital, a concept underscored by explainable AI's efforts to justify AI predictions. However, how the information is presented, e.g., the sequence of recommendations and solicitation of interpretations, is equally crucial as complex interactions may emerge between humans and AI. While empirical studies have evaluated human-AI dynamics across domains, a common vocabulary for human-AI interaction protocols is lacking. To promote more deliberate consideration of interaction designs, we introduce a taxonomy of interaction patterns that delineate various modes of human-AI interactivity. We summarize the results of a systematic review of AI-assisted decision making literature and identify trends and opportunities in existing interactions across application domains from 105 articles. We find that current interactions are dominated by simplistic collaboration paradigms, leading to little support for truly interactive functionality. Our taxonomy offers a tool to understand interactivity with AI in decision-making and foster interaction designs for achieving clear communication, trustworthiness, and collaboration. Copyright © 2025 Gomez, Cho, Ke, Huang and Unberath.;1
