Title,Relevance
1008. SMAFIRA a literature-based web tool to assist researchers with retrieval of 3R-relevant information (2024),1
1009. Human-AI collaboration to identify literature for evidence synthesis (2024),1
1072. Screening articles for systematic reviews with ChatGPT (2024),1
"1078. Towards the automation of systematic reviews using natural language processing, machine learning, and deep learning a comprehensive review (2024)",1
1120. Using machine learning for continuous updating of meta-analysis in educational context (2024),1
1145. Literature Filtering for Systematic Reviews with Transformers (2024),1
1156. Exploring Generative AI and Natural Language Processing to Develop Search Strategies for Systematic Reviews (2024),0
1163. The Promise and Challenges of Using LLMs to Accelerate the Screening Process of Systematic Reviews (2024),1
1224. Combining methods to conduct a systematic review and propose a conceptual and theoretical framework in socio-environmental research (2024),0
1239. Generative AI The End of Systematic Reviews in PhD Projects (2024),1
1241. Assessing Risk of Bias Using ChatGPT-4 and Cochrane ROB2 Tool (2024),1
1291. Using ChatGPT and other forms of generative AI in systematic reviews Comment (2024),0
13. How to search for literature in systematic reviews and meta-analyses A comprehensive step-by-step guide (2025),0
1334. Emerging Results on Automated Support for Searching and Selecting Evidence for Systematic Literature Review Updates (2024),1
1337. A Hybrid Semi-Automated Workflow for Systematic and Literature Review Processes with Large Language Model Analysis (2024),1
1370. Screening Automation in Systematic Reviews Analysis of Tools and Their Machine Learning Capabilities (2024),0
138. Designing GTP3 prompts to screen articles for systematic reviews of RCTs (2025),1
1415. Enhancing systematic reviews in orthodontics a comparative examination of GPT-3.5 and GPT-4 for generating PICO-based queries with tailored prompts and configuration (2024),1
1478. Utilizing ASReview in screening primary studies for meta-research in SLA A step-by-step tutorial (2024),1
"1499. Screening Smarter, Not Harder A Comparative Analysis of Machine Learning Screening Algorithms and Heuristic Stopping Criteria for Systematic Reviews in Educational Research (2024)",1
1500. Inter-reviewer reliability of human literature reviewing and implications for the introduction of machine-assisted systematic reviews A mixed-methods review (2024),0
1508. Machine Learning assisted systematic reviewing in orthopaedics (2024),1
162. Automated tools for systematic review screening methods an application of machine learning for sexual orientation and gender identity measurement in health research (2025),1
1627. Human-AI collaboration is not very collaborative yet a taxonomy of interaction patterns in AI-assisted decision making from a systematic review (2024),0
1722. Exploring case-based platforms AI-powered meta-analysis of participatory design and planning practices (2024),0
1725. Development and Validation of a Literature Screening Tool Few-Shot Learning Approach in Systematic Reviews (2024),1
1734. Are AI tools better than traditional tools in literature searching Evidence from E-commerce research (2024),1
1737. Uses of artificial intelligence and machine learning in systematic reviews of education research (2024),0
1860. STUDY SCREENING FOR META-RESEARCH An overview of AI tools (2024),1
194. Can large language models fully automate or partially assist paper selection in systematic reviews (2025),1
1980. SWARM-SLR - Streamlined Workflow Automation for Machine-Actionable Systematic Literature Reviews (2024),1
206. ChatGPT-4o can serve as the second rater for data extraction in systematic reviews (2025),1
2080. (Semi)automated approaches to data extraction for systematic reviews and meta-analyses in social sciences A living review (2024),0
2115. Exploring AI’s Role in Literature Searching Traditional Methods Versus AI-Based Tools in Analyzing Topical E-Commerce Themes (2024),1
2248. Potential Roles of Large Language Models in the Production of Systematic Reviews and Meta-Analyses (2024),1
2258. Performance of a Large Language Model in Screening Citations (2024),1
2304. Towards the Use of AI-Based Tools for Systematic Literature Review (2024),1
2343. Assessing the Efficacy of ChatGPT Versus Human Researchers in Identifying Relevant StudiesConducting Systematic Reviews Comparative Analysis (2024),1
2422. Integrating large language models in systematic reviews a framework and case study using ROBINS-I for risk of bias assessment (2024),1
2463. Large Language Model-Based Architecture for Automatic Outcome Data Extraction to Support Meta-Analysis (2024),1
2583. Automated Paper Screening for Clinical Reviews Using Large Language Models Data Analysis Study (2024),1
"2670. Accelerated evidence synthesis in orthopaedic the roles of natural language processing, expert annotation and large language models (2023)",0
"2683. ChatGPT and computational-based research benefits, drawbacks, and machine learning applications (2023)",0
2709. Are ChatGPT and large language models “the answer” to bringing us closer to systematic review automation (2023),1
2715. Generating Natural Language Queries for More Effective Systematic Review Screening Prioritisation (2023),1
2737. CRUISE-Screening Living Literature Reviews Toolbox (2023),1
2791. The effect of machine learning tools for evidence synthesis on resource use and time-to-completion protocol for a retrospective pilot study (2023),0
2883. Comparative study of ChatGPT and human evaluators on the assessment of medical literature according to recognised reporting standards (2023),1
2888. Artificial intelligence to automate the systematic review of scientific literature (2023),0
2933. Machine Learning Methods for Systematic Reviews A Rapid Scoping Review (2023),1
3035. Systematic reviewers used various approaches to data extraction and expressed several research needs a survey (2023),0
3037. The use of artificial intelligence for automating or semi-automating biomedical literature analyses A scoping review (2023),1
"3038. Harnessing the Power of ChatGPT for Automating Systematic Review Process Methodology, Case Study, Limitations, and Future Directions (2023)",1
3060. Can ChatGPT Write a Good Boolean Query for Systematic Review Literature Search (2023),1
31. Using Machine Learning for Systematic Literature Review Case in Point Agile Software Development (2025),1
3136. How Good Is ChatGPT for Medication Evidence Synthesis (2023),0
"3157. We extended the 2-week systematic review (2weekSR) methodology to larger, more complex systematic reviews A case series (2023)",1
320. Methodology for AI-Based Search Strategy of Scientific Papers Exemplary Search for Hybrid and Battery Electric Vehicles in the Semantic Scholar Database (2024),1
3282. Towards Automated Meta-Analysis of Clinical Trials An Overview (2023),0
3342. Streamlining Science Recreating Systematic Literature Reviews with AI-Powered Decision Tools (2023),1
"3414. Accelerating literature screening for systematic literature reviews with Large Language Models – development, application, and first evaluation of a solution (2023)",0
3621. Automating Systematic Literature Reviews with Natural Language Processing and Text Mining A Systematic Literature Review (2023),1
3679. Automated SLR with a Few Labeled Papers and a Fair Workload Metric (2023),1
3686. Systematic literature review (SLR) automation A systematic literature review (2014),0
3780. BERT for Complex Systematic Review Screening to Support the Future of Medical Research (2023),1
3814. Screening for in vitro systematic reviews a comparison of screening methods and training of a machine learning classifier (2023),1
383. Towards the Utilization of AI-Powered Assistance for Systematic Literature Review (2025),1
392. ChatGPT-based meta-analysis for evaluating the temporal and spatial characteristics of deoxynivalenol contamination in Chinese wheat (2024),1
3993. Investigation of text-mining methodologies to aid the construction of search strategies in systematic reviews of diagnostic test accurace a case study (2023),1
3994. Digitalising the Systematic Literature Review process the MySLR platform (2023),1
"4016. Reducing systematic review burden using Deduklick a novel, automated, reliable, and explainable deduplication algorithm to foster medical research (2022)",0
4031. Automation of literature screening using machine learning in medical evidence synthesis a diagnostic test accuracy systematic review protocol,0
4117. A novel tool that allows interactive screening of PubMed citations showed promise for the semi-automation of identification of Biomedical Literature (2022),1
4174. slr-kit A semi-supervised machine learning framework for systematic literature reviews (2022),1
418. Leveraging artificial intelligence to enhance systematic reviews in health research advanced tools and challenges (2024),1
431. Semi-automating the Scoping Review Process Is it Worthwhile A Methodological Evaluation (2024),0
4332. Tools to support the automation of systematic reviews a scoping review (2022),0
4387. Artificial Intelligence-Aided Meta-Analysis of Toxicological Assessment of Agrochemicals in Bees (2022),1
4413. Evaluation of a semi-automated data extraction tool for public health literature-based reviews Dextr (2022),1
451. Semi-automated title-abstract screening using natural language processing and machine learning (2024),1
4610. STAR-ML A Rapid Screening Tool for Assessing Reporting of Machine Learning in Research (2022),0
4684. A Rapid Semi-automated Literature Review on Legal Precedents Retrieval (2022),0
4730. Automatic classification of literature in systematic reviews on food safety using machine learning (2022),1
474. Computer-assisted screening in systematic evidence synthesis requires robust and well-evaluated stopping criteria (2024),0
4746. A Semi-automatic Document Screening System for Computer Science Systematic Reviews (2022),1
4782. Automation of Citation Screening for Systematic Literature Reviews Using Neural Networks A Replicability Study (2022),1
4842. srBERT automatic article classification model for systematic review using BERT (2021),1
"4882. CogTale an online platform for the evaluation, synthesis, and dissemination of evidence from cognitive interventions studies (2021)",0
4893. Toward automated data extraction according to tabular data structure Cross-sectional pilot survey of the comparative clinical literature (2021),1
4901. Research Screener a machine learning tool to semi-automate abstract screening for systematic reviews (2021),1
4968. systematic review of automatic text summarization for biomedical literature and EHRs (2021),0
5129. A roadmap toward the automatic composition of systematic literature reviews (2021),0
5156. Citation screening using crowdsourcing and machine learning produced accurate results Evaluation of Cochrane's modified Screen4Me service (2021),1
5275. SYMBALS A Systematic Review Methodology Blending Active Learning and Snowballing (2021),1
5293. Data extraction methods for systematic review (semi)automation A living systematic review (2021),0
543. Methodological insights into ChatGPT’s screening performance in systematic reviews (2024),1
5438. Systematic Review Automation Tools for End-to-End Query Formulation (2020),0
544. An exploration of available methods and tools to improve the efficiency of systematic review production a scoping review (2024),0
5494. Artificial intelligence and automation of systematic reviews in women's health (2020),0
550. Using ChatGPT to perform a systematic review a tutorial (2024),1
5525. Machine learning assisted citation screening for systematic reviews (2020),1
555. Automation of systematic reviews of biomedical literature a scoping review of studies indexed in PubMed (2024),0
5565. Automatic extraction of quantitative data from ClinicalTrials.gov to conduct meta-analyses (2020),1
5579. The semi-automation of title and abstract screening A retrospective exploration of ways to leverage Abstrackr's relevance predictions in systematic and rapid reviews (2020),1
5642. Data extraction methods for systematic review (semi)automation A living review protocol (2020),0
566. Automation of duplicate record detection for systematic reviews Deduplicator (2024),0
5822. Toward systematic review automation A practical guide to using machine learning tools in research synthesis (2019),1
584. Machine learning enables automated screening for systematic reviews and meta-analysis in urology (2024),1
5870. Introducing RAPTOR RevMan Parsing Tool for Reviewers (2019),1
5877. Usage of automation tools in systematic reviews (2019),0
589. Evaluating the effectiveness of large language models in abstract screening a comparative analysis (2024),1
5897. Automatic screening using word embeddings achieved high sensitivity and workload reduction for updating living network meta-analyses (2019),1
5898. Trial2rev Combining machine learning and crowd-sourcing to create a shared space for updating systematic reviews (2019),1
5906. MetaCyto A Tool for Automated Meta-analysis of Mass and Flow Cytometry Data (2018),1
5916. Effective study selection using text mining or a single-screening approach A study protocol (2018),1
5918. Improving systematic literature review with automation and bibliometrics (2018),0
"5957. Automation in systematic, scoping and rapid reviews by an NLP toolkit A case study in enhanced living environments (2018)",1
5964. An Effective Machine Learning Framework for Data Elements Extraction from the Literature of Anxiety Outcome Measures to Build Systematic Review (2019),1
