Title;Abstract;Relevance
public policy and active transportation;;1
effectiveness of active school transport interventions: a systematic review and update;"Background: Active school transport (AST) is a promising strategy to increase children's physical activity. A systematic review published in 2011 found large heterogeneity in the effectiveness of interventions in increasing AST and highlighted several limitations of previous research. We provide a comprehensive update of that review. Methods: Replicating the search of the previous review, we screened the PubMed, Web of Science, Cochrane, Sport Discus and National Transportation Library databases for articles published between February 1, 2010 and October 15, 2016. To be eligible, studies had to focus on school-aged children and adolescents, include an intervention related to school travel, and report a measure of travel behaviors. We assessed quality of individual studies with the Effective Public Health Practice Project quality assessment tool, and overall quality of evidence with the Grades of Recommendation, Assessment, Development, and Evaluation (GRADE) approach. We calculated Cohen's d as a measure of effect size. Results: Out of 6318 potentially relevant articles, 27 articles reporting 30 interventions met our inclusion criteria. Thirteen interventions resulted in an increase in AST, 8 found no changes, 4 reported inconsistent results, and 5 did not report inferential statistics. Cohen's d ranged from -0.61 to 0.75, with most studies reporting trivial-to-small positive effect sizes. Three studies reported greater increases in AST over longer follow-up periods and two Safe Routes to School studies noted that multi-level interventions were more effective. Study quality was rated as weak for 27/30 interventions (due notably to lack of blinding of outcome assessors, unknown psychometric properties of measurement tools, and limited control for confounders), and overall quality of evidence was rated as low. Evaluations of implementation suggested that interventions were limited by insufficient follow-up duration, incomplete implementation of planned interventions, and limited access to resources for low-income communities. Conclusions: Interventions may increase AST among children; however, there was substantial heterogeneity across studies and quality of evidence remains low. Future studies should include longer follow-ups, use standardized outcome measures (to allow for meta-analyses), and examine potential moderators and mediators of travel behavior change to help refine current interventions.";1
improving mexican women's health utilizing cycling and active transport strategies;;1
associations between school environments, policies and practices and children's physical activity and active transportation;BACKGROUND There is evidence of school-level variability in children's active behaviors. This study investigated the associations between school environments, policies and practices, and children's physical activity (PA) and active school transportation (AST), in a school ecology context. METHODS We recruited children (N = 1699, age = 10.2 +/- 1.0 years, 55.0% girls) in 37 schools from 3 diverse regions of Canada. We then collected data using questionnaires (child, parent) and pedometers. In each school, an official completed a School Health Environment Survey. Multilevel regression models were used to examine associations with children's daily steps, and frequency and volume (frequency*distance) of AST. RESULTS Between-school variation ranged from 4.7% to 22.2% demonstrating that school environments are associated with children's active behaviors. None of the school environment variables were significantly associated with children's PA or frequency of AST. Nevertheless, their inclusion improved the PA model. Children's volume of AST increased in schools that reported more initiatives to promote AST. CONCLUSIONS Our findings suggest that multiple components are needed to effectively promote active behaviors in children. Schools should determine the areas in which they can improve and assess the feasibility of implementing measures to make their school environments, policies, and practices more conducive to PA and AST.;1
obesity-related health impacts of active transport policies in australia - a policy review and health impact modelling study;Objective: To review Australian policies on active transport, defined as walking and cycling for utilitarian purposes. To estimate the potential health impact of achieving four active transport policy scenarios. Methods: A policy review was undertaken, using key words to search government websites. Potential health benefits were quantified using a cohort simulation Markov model to estimate obesity and transport injury-related health effects of an increase in active transport. Health adjusted life years (HALYs) gained and healthcare cost savings from diseases averted were estimated. Budget thresholds to achieve cost-effectiveness were estimated for each scenario. Results: There is broad recognition of the health-related benefits of active transport from all levels of Australian government. Modelling results suggest significant health-related benefits of achieving increased prevalence of active transport. Total HALYs saved assuming a one-year effect ranged from 565 (95%UI 173-985) to 12,105 (95%UI 4,970-19,707), with total healthcare costs averted ranging from $6.6M (95%UI $1.9M-11.3M) to $141.2M (95%UI $53.8M-227.8M). Conclusion: Effective interventions that improve rates of active transport may result in substantial healthcare-related cost savings through a decrease in conditions related to obesity. Implications for public health: Significant potential exists for effective and cost-effective interventions that result in more walking and cycling.;1
assessing cost-effectiveness in obesity: active transport program for primary school children-travelsmart schools curriculum program;"Background: To assess from a societal perspective the cost-effectiveness of a school program to increase active transport in 10- to 11-year-old Australian children as an obesity prevention measure. Methods: The TravelSMART Schools Curriculum program was modeled nationally for 2001 in terms of its impact on Body Mass Index (BMI) and Disability-Adjusted Life Years (DALYs) measured against current practice. Cost offsets and DALY benefits were modeled until the eligible cohort reached age 100 or died. The intervention was qualitatively assessed against second stage filter criteria ('equity,' strength of evidence,' acceptability to stakeholders,' feasibility of implementation,' 'sustainability,' and 'side-effects') given their potential impact on funding decisions. Results: The modeled intervention reached 267,700 children and cost $AUD13.3M (95% uncertainty interval [UI] $6.9M; $22.8M) per year. It resulted in an incremental saving of 890 (95%UI -540; 2,900) BMI units, which translated to 95 (95% UI 40; 230) DALYs and a net cost per DALY saved of $AUD117,000 (95% UI dominated; $1.06M). Conclusions: The intervention was not cost-effective as an obesity prevention measure under base-run modeling assumptions. The attribution of some costs to nonobesity objectives would be justified given the program's multiple benefits. Cost-effectiveness would be further improved by considering the wider school community impacts.";1
exploring active transportation investments and associated benefits for municipal budgets: a scoping review;"Municipalities play an important role in the planning and development of communities that support active transportation (AT), which refers to human-powered modes of travel, such as walking and cycling. Municipal-level stakeholders involved in land-use and transportation infrastructure planning consider multiple social, environmental and economic considerations to inform decision-making and investments in AT. Evidence around the fiscal benefits of AT investment for local governments has not been systematically identified. This scoping review sought to explore the existing evidence regarding investments in AT and opportunities for savings on municipal expenditures and revenue generation. In total, 7060 records were located and screened; of which 162 full-text articles were reviewed. Ultimately, 23 articles met our inclusion criteria and were included in this review. The available evidence focuses on potential economic benefits of AT in the areas of tax revenues, property values, consumer spending and employment, all of which are relevant sources of revenue generation in municipal operating budgets. An evidence gap was identified regarding AT infrastructure investments and benefits corresponding to municipal expenditures (e.g. maintenance cost savings). Notably, a large portion of literature was published after 2009, suggesting that municipal-level evidence on the fiscal benefits of AT investments may just be emerging.";1
active commuting and perceptions of the route environment: a longitudinal analysis;Objective. To assess associations between changes in perceptions of the environment en route to work and changes in active commuting. Methods. 655 commuters in Cambridge, UK reported perceptions of their commuting route and past-week commuting trips in postal questionnaires in 2009 and 2010. Associations between changes in route perceptions and changes in time spent walking and cycling, proportion of car trips, and switching to or from the car on the commute were modelled using multivariable regression. Results. Changes in only a few perceptions were associated with changes in travel behaviour. Commuters who reported that it became less pleasant to walk recorded a 6% (95% CI: 1, 11) net increase in car trips and a 12 min/week (95% CI: 1, 24) net decrease in walking. Increases in the perceived danger of cycling or of crossing the road were also associated with increases in car trips. Increases in the perceived convenience of public transport (OR: 331,95% CI: 1.27, 8.63) or safety of cycling (OR: 3.70, 95% CI: 1.44, 9.50) were associated with taking up alternatives to the car. Conclusions. Interventions to improve the safety of routes and convenience of public transport may help promote active commuting and should be evaluated. (C) 2014 The Authors. Published by Elsevier Inc. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/3.0/).;1
built environment and active transport to school (beats) study: multidisciplinary and multi-sector collaboration for physical activity promotion;"The Built Environment and Active Transport to School (BEATS) Study examines active transport to school (ATS) in adolescents in Dunedin, New Zealand, using the ecological model for active transport which accounts for individual, social, environmental, and policy influences. This article describes the BEATS Study design, the establishment of research and community collaborations, planning and preparation for data collection, study implementation and dissemination activities and selected preliminary findings. The BEATS Study is founded on a multidisciplinary approach and multi-sector collaborations between secondary schools, the city council, the local communities, and academia. The study uses a mixed-method approach incorporating both quantitative (survey) and qualitative (focus groups/interviews) approaches with students, parents, teachers and school principals. All 12 secondary schools in Dunedin, New Zealand, are participating in the study. As of September 2014, 1,272 adolescents from nine schools (age: 15.3 +/- 1.4 years; 46.6% boys) completed the student survey. Three additional schools will be surveyed in 2015. On average, 33.0% of Dunedin adolescents use ATS. ATS rates vary greatly by school (range: 8.6% to 46.5%) and most students like the way how they travel to school (88.3%). With 100% school recruitment rate, this study provides a unique sample of students and parents across one city with a heterogeneous physical environment. The findings will enable community health promoters, policy makers and city planners to address ATS barriers, encourage active transport and create supportive built environments to promote ATS.";1
active commuting through natural environments is associated with better mental health: results from the phenotype project;"] Background: Commuting routes with natural features could promote walking or cycling for commuting. Commuting through natural environments (NE) could have mental health benefits as exposure to NE can reduce stress and improve mental health, but there is little evidence. This study evaluates the association between NE and commuting, whether active or not, and the association between commuting (through NE), whether active or not, and mental health. We also evaluate the moderating effect of NE quality on the association between NE commuting and mental health. Methods: This cross-sectional study was based on adult respondents (n = 3599) of the Positive Health Effects of the Natural Outdoor Environment in Typical Populations in Different Regions in Europe (PHENOTYPE) project. Data were collected in four European cities in Spain, the Netherlands, Lithuania and the United Kingdom. Data on commuting behavior (active commuting at least one day/week, daily NE commuting) and mental health were collected with questionnaires. Associations were estimated with multilevel analyses including random intercepts at city- and neighborhood level. Results: Adjusted multilevel analyses showed that daily NE commuters were more often active commuters (OR 1.42; 95% CI 1.19, 1.70). There was no association between active commuting and mental health, but daily NE commuters had on average a 2.74 (95% CI 1.66, 3.82) point higher mental health score than those not commuting through NE. The association with mental health was stronger among active commuters (4.03, 95% CI 2.13, 5.94) compared to non-active commuters (2.21; 95% CI 0.90, 3.51) when daily commuting through NE, but NE quality did not have a moderating effect. Conclusions: Daily NE commuting was associated with better mental health, especially for active commuters. Daily NE commuters were likely to be active commuters. Active commuting itself was not associated with mental health. These findings suggest that cities should invest in commuting routes with nature for cycling and walking.";1
